subject,path,file_count,status
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_states_split-buttons_pt02.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_states_split-buttons_pt02++.feat,1853,worked
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_states_split-buttons_pt02+.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_all_paths-rews-split_buttons_pt01.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_all_paths-rews-split_buttons_pt01+.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_all_paths-rews-split_buttons_pt02.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_all_paths-rews-split_buttons_pt02+.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_all-rews-split_buttons_pt01.feat,1940,worked
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_all-rews-split_buttons_pt01+.feat,1940,worked
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_all-rews-split_buttons_pt02.feat,1949,worked
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_all-rews-split_buttons_pt02+.feat,1949,worked
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_split-buttons_pt01++.feat,1636,worked
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_split-buttons_pt01+.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_split-buttons_pt02.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_split-buttons_pt02++.feat,1645,worked
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_split-buttons_pt02+.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_states_split-buttons_pt01.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_states_split-buttons_pt01++.feat,1788,worked
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_states_split-buttons_pt01+.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_states_split-buttons_pt02.feat,3,failed
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_states_split-buttons_pt02++.feat,1797,worked
sub-06,/home/fs0/xpsy1114/scratch/data/derivatives/sub-06/func/glm_fut-steps_states_split-buttons_pt02+.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_all_paths-rews-split_buttons_pt01.feat,3,failed
